Žaidžiantys
Miestas
Lionel Messi;Puolėjas;95;85;98;40;92;78;96;90
Cristiano Ronaldo;Puolėjas;98;80;99;45;95;82;90;88
Luka Modrić;Saugas;90;88;75;60;85;76;94;86
Virgil van Dijk;Gynėjas;110;65;80;95;88;70;89;84
Kylian Mbappé;Puolėjas;93;75;97;42;91;95;85;87
Erling Haaland;Puolėjas;105;60;100;55;93;80;82;85
Kevin De Bruyne;Saugas;92;85;88;58;89;78;95;89
Pedri;Saugas;88;82;75;52;83;81;90;84
Jude Bellingham;Saugas;94;78;84;60;88;83;91;86
Harry Kane;Puolėjas;98;70;93;55;90;76;87;85
Manuel Neuer;Vartininkas;120;65;60;98;85;60;88;82
Vinícius Júnior;Krašto puolėjas;90;72;89;45;86;93;84;83
