Žaidžiantys
Kaunas
Lionel Messi;Puolėjas;40;85;98;40;92;78;96;90
Cristiano Ronaldo;Puolėjas;40;80;99;45;95;82;90;88
Luka Modrić;Saugas;40;88;75;60;85;76;94;86
Virgil van Dijk;Gynėjas;40;65;80;95;88;70;89;84
Kylian Mbappé;Puolėjas;40;75;97;42;91;95;85;87
Erling Haaland;Puolėjas;40;60;100;55;93;80;82;85
Kevin De Bruyne;Saugas;40;85;88;58;89;78;95;89
Pedri;Saugas;40;82;75;52;83;81;90;84
Jude Bellingham;Saugas;40;78;84;60;88;83;91;86
Harry Kane;Puolėjas;40;70;93;55;90;76;87;85
Manuel Neuer;Vartininkas;40;70;65;100;90;58;88;83
Vinícius Junior;Krašto puolėjas;38;70;65;100;90;58;88;83
